"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Price","Target Price"
"ACPW","Industrial Goods","Diversified Machinery",7.33,0.17,,-2.00%,20.00%,-2.40%,-31.70%,24.20%,-23.10%,-24.00%,0.34,1.18
"ACRE","Financial","REIT - Diversified",367.62,3.68,3.03%,24.80%,6.00%,,3.40%,59.90%,38.70%,32.10%,12.47,13.33
"ACRS","Healthcare","Biotechnology",554.00,,-7.70%,0.00%,72.40%,,,,,,24.15,30.25
"ACRX","Healthcare","Medical Appliances & Equipment",170.28,6.89,-18.70%,5.70%,,,-38.20%,66.20%,-70.40%,,3.55,6.85
"ACSF","Financial","Asset Management",,,-36.40%,0.00%,,,,,,,10.69,11.25
"ACST","Healthcare","Biotechnology",,,,0.00%,,,,,,,2.23,21.91
"ACTA","Technology","Application Software",427.04,3.04,81.60%,-31.80%,17.50%,4.10%,-29.60%,71.00%,-69.00%,-66.20%,10.37,14.33
"ACTG","Services","Business Services",339.68,2.91,17.20%,-39.80%,20.00%,-1.10%,-50.70%,74.40%,,,6.56,6.67
"ACTS","Technology","Semiconductor - Specialized",91.66,1.81,,-73.44%,25.00%,5.50%,-12.90%,24.80%,-55.90%,-54.00%,2.07,1.15
"ACTX","Financial","Exchange Traded Fund",,,,,,,,,,,13.37,
"ACU","Consumer Goods","Housewares & Accessories",68.91,0.58,12.62%,10.00%,10.00%,11.70%,8.00%,35.60%,6.90%,4.60%,20.15,25.25
"ACUR","Healthcare","Drug Delivery",18.85,5.55,96.20%,19.30%,,21.00%,-25.60%,87.10%,,,1.59,8.00
"ACV","Consumer Goods","Personal Products",,,,-3.05%,3.20%,,,,,,18.59,36.93
"ACW","Consumer Goods","Auto Parts",124.41,0.19,-350.00%,50.60%,36.00%,0.30%,8.00%,11.10%,3.10%,-2.40%,2.55,2.58
"ACWF","Financial","Exchange Traded Fund",,,,,,,,,,,24.44,
"ACWI","Financial","Exchange Traded Fund",,,,,,,,,,,58.25,
"ACWV","Financial","Exchange Traded Fund",,,,,,,,,,,75.29,
"ACWX","Financial","Exchange Traded Fund",,,,,,,,,,,40.86,
