"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Price","Target Price"
"KEY","Financial","Regional - Midwest Banks",13539.46,5.01,17.04%,16.30%,9.66%,-5.10%,9.10%,,80.10%,30.10%,12.37,13.85
"KEYS","Technology","Scientific & Technical Instruments",5239.60,1.80,3.05%,0.00%,,1.10%,23.20%,55.50%,14.10%,17.80%,29.98,28.00
"KEYW","Technology","Application Software",418.43,1.36,44.30%,-37.70%,25.00%,23.60%,-12.80%,31.90%,-1.80%,-14.80%,9.74,11.88
"KF","Financial","Closed-End Fund - Foreign",,,,0.00%,,,,,,,33.97,
"KFFB","Financial","Savings & Loans",69.39,5.98,,-5.00%,,1.60%,14.30%,,88.70%,12.90%,8.30,
"KFRC","Services","Staffing & Outsourcing Services",528.93,0.40,12.26%,38.70%,30.17%,8.30%,20.20%,31.40%,5.40%,3.00%,18.52,20.50
"KFS","Financial","Property & Casualty Insurance",110.90,0.69,,47.00%,10.00%,-0.40%,-5.60%,,-0.40%,-3.30%,5.57,1.00
"KFY","Services","Staffing & Outsourcing Services",1357.66,1.01,8.13%,-14.60%,12.00%,11.60%,2.80%,95.60%,,,21.99,28.28
"KFYP","Financial","Exchange Traded Fund",,,,,,,,,,,31.50,
"KGC","Basic Materials","Gold",5498.27,1.73,106.80%,-24.10%,,0.30%,-15.20%,12.90%,-19.30%,-27.90%,4.13,6.34
"KGJI","Basic Materials","Gold",160.14,0.13,,-4.50%,,13.80%,5.60%,8.20%,7.00%,4.10%,2.37,
"KHC","Consumer Goods","Food - Major Diversified",112644.89,4.23,21.93%,24.30%,23.51%,,2.70%,34.30%,18.20%,6.20%,89.17,90.29
"KHI","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,9.11,
"KIE","Financial","Exchange Traded Fund",,,,,,,,,,,74.08,
"KIM","Financial","REIT - Retail",12621.69,10.72,-22.52%,69.30%,,7.10%,2.70%,74.60%,26.30%,62.80%,28.70,31.58
"KIN","Healthcare","Biotechnology",87.77,,-0.80%,0.00%,15.00%,,,,,,4.61,7.00
"KINS","Financial","Property & Casualty Insurance",74.37,1.04,32.50%,24.50%,,24.30%,15.40%,,15.70%,10.60%,9.32,11.50
"KIQ","Services","Railroads",,,,,,,,,,,1.10,
"KIRK","Services","Home Furnishing Stores",196.10,0.34,27.20%,-6.00%,15.00%,6.20%,13.90%,37.90%,3.70%,2.40%,12.31,17.40
"KITE","Healthcare","Biotechnology",2951.77,148.33,-12.50%,0.00%,,,-16.80%,,,,55.37,72.42
"KKR","Financial","Asset Management",12277.98,9.93,334.94%,-8.90%,24.20%,19.10%,-3.70%,,-24.10%,-31.90%,14.74,18.00
"KLAC","Technology","Semiconductor Equipment & Materials",11122.86,3.73,10.98%,-0.70%,21.20%,-1.20%,21.50%,61.10%,32.20%,23.60%,70.26,76.70
"KLD","Financial","Exchange Traded Fund",,,,,,,,,,,89.91,
"KLDW","Financial","Exchange Traded Fund",,,,,,,,,,,26.75,
"KLDX","Basic Materials","Industrial Metals & Minerals",,,22.70%,0.00%,,,,,,,5.43,5.25
"KLEM","Financial","Exchange Traded Fund",,,,,,,,,,,24.28,
"KLIC","Technology","Semiconductor Equipment & Materials",905.35,1.51,29.03%,-19.00%,12.00%,-6.80%,6.40%,46.30%,8.40%,7.80%,12.38,14.50
"KLOX","Healthcare","Biotechnology",,,,,,,,,,,,
"KLXI","Industrial Goods","Aerospace/Defense Products & Services",1862.30,1.26,87.83%,-43.50%,-13.09%,15.00%,-9.10%,23.20%,-37.30%,-26.70%,33.86,39.80
"KMB","Consumer Goods","Personal Products",45089.76,2.46,7.20%,-9.10%,7.10%,-1.20%,15.60%,36.10%,16.70%,10.70%,122.44,138.73
"KMDA","Healthcare","Biotechnology",,,131.60%,0.00%,6.00%,,,,,,4.73,8.50
"KME","Financial","Exchange Traded Fund",,,,,,,,,,,,
"KMG","Basic Materials","Specialty Chemicals",328.90,1.10,8.51%,-5.00%,17.00%,10.10%,8.70%,37.90%,9.60%,6.10%,26.74,31.00
"KMI","Basic Materials","Oil & Gas Pipelines",49369.16,3.61,14.33%,17.80%,8.37%,12.90%,2.40%,57.40%,16.30%,0.60%,21.56,22.94
"KMM","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,8.42,
"KMPH","Healthcare","Biotechnology",72.74,,-39.00%,0.00%,,,,,,,4.69,12.50
"KMPR","Financial","Property & Casualty Insurance",1914.40,0.76,89.84%,-10.00%,10.00%,-2.30%,6.80%,,5.50%,1.80%,36.43,38.00
"KMT","Industrial Goods","Machine Tools & Accessories",2306.52,1.10,26.52%,-24.80%,10.33%,-2.70%,-12.00%,29.40%,-8.30%,-10.80%,27.59,24.78
"KMX","Services","Auto Dealerships",11869.34,0.78,8.07%,12.90%,14.33%,11.00%,4.60%,13.40%,6.50%,4.00%,56.90,61.56
"KN","Technology","Communication Equipment",1352.07,1.38,22.55%,-32.60%,15.00%,8.20%,-15.30%,33.70%,-22.20%,-26.10%,14.69,17.57
"KND","Healthcare","Long-Term Care Facilities",850.54,0.12,6.00%,-22.70%,8.00%,10.20%,3.80%,94.60%,4.50%,0.90%,9.80,14.50
"KNDI","Consumer Goods","Auto Manufacturers - Major",276.08,1.28,,56.10%,,36.20%,-3.60%,14.30%,-5.50%,2.80%,5.64,4.59
"KNL","Consumer Goods","Business Equipment",1233.91,1.07,12.72%,17.40%,16.00%,6.40%,13.40%,38.10%,10.10%,6.10%,24.28,27.00
"KNOP","Services","Shipping",545.21,3.27,12.53%,13.26%,1.00%,73.60%,5.80%,82.50%,47.60%,29.10%,19.09,20.74
"KNOW","Financial","Exchange Traded Fund",,,,,,,,,,,74.12,
"KNX","Services","Trucking",2392.60,2.10,14.14%,15.10%,9.33%,10.10%,12.90%,67.40%,14.60%,9.40%,29.10,27.81
"KO","Consumer Goods","Beverages - Soft Drinks",188709.14,4.36,5.24%,-8.00%,3.00%,4.80%,9.30%,60.30%,20.60%,17.60%,42.36,47.76
"KODK","Consumer Goods","Electronic Equipment",636.45,0.38,,2.90%,-12.00%,-21.40%,2.30%,24.20%,7.70%,-0.50%,14.37,1.00
"KOF","Consumer Goods","Beverages - Soft Drinks",5055.34,0.60,11.33%,-2.00%,5.70%,8.00%,10.30%,46.80%,,,72.53,91.08
"KOL","Financial","Exchange Traded Fund",,,,,,,,,,,10.87,
"KOLD","Financial","Exchange Traded Fund",,,,,,,,,,,34.63,
"KONA","Services","Restaurants",148.49,0.95,105.60%,-26.20%,35.00%,11.60%,-6.90%,37.50%,-3.60%,-3.80%,13.93,18.63
"KONE","Technology","Business Software & Services",9.53,11.92,,-36.60%,,-9.50%,-2.90%,,,,6.53,
"KOOL","Healthcare","Medical Appliances & Equipment",41.29,3.25,,0.10%,,-7.00%,-42.60%,21.20%,-93.70%,,4.10,2.00
"KOP","Basic Materials","Specialty Chemicals",667.67,0.44,21.89%,-29.80%,15.00%,6.40%,-3.60%,17.70%,-1.60%,-4.40%,29.86,39.33
"KOPN","Technology","Semiconductor - Broad Line",147.37,6.38,-5.10%,-64.60%,20.00%,-11.20%,-26.70%,3.40%,-91.90%,-93.90%,2.08,2.00
"KORS","Consumer Goods","Textile - Apparel Clothing",8301.56,1.76,5.52%,71.60%,3.57%,42.50%,42.10%,59.10%,23.60%,17.20%,47.68,55.55
"KORU","Financial","Exchange Traded Fund",,,,,,,,,,,27.42,
"KOS","Basic Materials","Independent Oil & Gas",2377.94,7.29,68.60%,26.80%,,,-12.30%,64.70%,-40.20%,-25.50%,5.82,8.41
"KOSS","Consumer Goods","Electronic Equipment",15.77,0.61,,-20.50%,,-8.90%,7.70%,34.40%,8.30%,5.30%,2.10,
"KPTI","Healthcare","Drugs - Generic",355.65,1778.27,3.10%,0.00%,-13.60%,,-60.00%,,,,9.11,16.40
"KR","Services","Grocery Stores",29467.81,0.26,7.97%,18.90%,8.19%,6.00%,13.40%,22.40%,,,31.25,39.19
"KRA","Basic Materials","Specialty Chemicals",1120.87,0.81,23.56%,-16.10%,,-3.40%,1.50%,25.90%,4.20%,7.00%,34.10,34.67
"KRC","Financial","REIT - Office",6687.33,11.25,-30.46%,56.40%,11.20%,17.90%,3.20%,72.70%,29.60%,54.60%,68.97,77.33
"KRE","Financial","Exchange Traded Fund",,,,,,,,,,,42.16,
"KRG","Financial","REIT - Retail",2386.56,6.77,1500.00%,16.20%,28.85%,29.70%,2.10%,74.00%,19.60%,1.50%,27.35,31.68
"KRMA","Financial","Exchange Traded Fund",,,,,,,,,,,15.32,
"KRNT","Industrial Goods","Diversified Machinery",292.29,3.23,100.37%,0.00%,42.75%,,5.00%,47.60%,5.90%,5.20%,9.10,15.70
"KRNY","Financial","Savings & Loans",1257.74,9.91,4.76%,15.80%,4.00%,4.80%,6.60%,,66.40%,12.50%,13.89,14.33
"KRO","Basic Materials","Specialty Chemicals",1006.44,0.78,95.28%,-25.80%,,-1.40%,-17.90%,12.70%,-1.00%,-2.60%,8.15,7.42
"KROO","Financial","Exchange Traded Fund",,,,,,,,,,,16.21,
"KRS","Financial","Exchange Traded Fund",,,,,,,,,,,22.25,
"KRU","Financial","Exchange Traded Fund",,,,,,,,,,,92.50,
"KS","Consumer Goods","Paper & Paper Products",1807.91,0.58,19.69%,9.50%,-0.88%,28.90%,6.20%,27.90%,5.60%,2.70%,17.87,18.35
"KSA","Financial","Exchange Traded Fund",,,,,,,,,,,21.63,
"KSM","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,14.62,
"KSS","Services","Department Stores",7692.07,0.41,5.29%,-1.20%,7.93%,0.90%,9.80%,35.90%,6.40%,3.00%,42.71,47.15
"KST","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,11.89,
"KSU","Services","Railroads",10343.96,4.38,11.57%,3.50%,9.65%,5.90%,9.70%,65.40%,35.50%,21.10%,91.93,103.94
"KT","Technology","Telecom Services - Foreign",7506.30,0.36,-1.11%,-20.40%,4.10%,1.90%,4.60%,100.00%,5.40%,1.80%,14.94,15.32
"KTCC","Technology","Computer Peripherals",81.03,0.17,,1.00%,,13.80%,5.90%,8.00%,2.10%,1.30%,7.34,9.50
"KTEC","Industrial Goods","Diversified Machinery",65.81,0.55,2600.00%,-25.90%,15.00%,-2.30%,-6.40%,28.80%,-2.60%,-2.30%,10.14,15.00
"KTF","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,14.42,
"KTOS","Services","Security & Protection Services",423.99,0.64,178.60%,-21.60%,13.00%,10.00%,0.50%,24.80%,-1.60%,2.80%,6.63,7.50
"KTOV","Healthcare","Biotechnology",,,61.50%,0.00%,,,,,,,3.23,7.00
"KTWO","Healthcare","Medical Appliances & Equipment",753.93,3.35,49.10%,0.00%,20.00%,,-11.40%,66.70%,-16.40%,-17.80%,17.17,22.29
"KURA","Healthcare","Biotechnology",136.71,,-25.30%,0.00%,,,,,,,6.15,16.25
"KVHI","Technology","Communication Equipment",147.39,0.80,28.69%,-23.90%,30.00%,10.50%,1.50%,44.40%,0.80%,0.00%,8.51,12.00
"KW","Financial","Property Management",2602.15,3.86,-56.50%,90.50%,25.00%,64.20%,2.70%,98.30%,24.20%,4.90%,21.81,30.63
"KWEB","Financial","Exchange Traded Fund",,,,,,,,,,,40.94,
"KWR","Basic Materials","Specialty Chemicals",1364.16,1.85,8.15%,6.50%,10.00%,6.30%,11.80%,37.90%,9.90%,7.20%,97.93,96.67
"KWT","Financial","Exchange Traded Fund",,,,,,,,,,,38.71,
"KXI","Financial","Exchange Traded Fund",,,,,,,,,,,98.48,
"KYE","Financial","Closed-End Fund - Equity",419.62,12.83,,-29.70%,,3.00%,1.50%,9.60%,8.20%,,11.11,21.00
"KYN","Financial","Closed-End Fund - Equity",2282.41,41.50,,-32.30%,,30.60%,-1.60%,,,,19.23,33.00
"KYO","Technology","Diversified Electronics",17876.66,1.25,2.45%,-2.30%,25.00%,3.20%,2.60%,25.70%,5.00%,6.50%,47.68,43.81
"KZ","Technology","Multimedia & Graphics Software",315.09,1.76,,-25.50%,,4.10%,-6.40%,45.20%,7.70%,21.80%,6.74,
"L","Financial","Property & Casualty Insurance",13985.37,1.06,28.52%,-25.50%,5.61%,-1.80%,2.90%,,2.20%,0.10%,40.93,42.00
"LABD","Financial","Exchange Traded Fund",,,,,,,,,,,19.20,
"LABL","Services","Business Services",1147.27,1.29,6.68%,15.00%,3.72%,20.80%,8.90%,21.00%,11.00%,5.70%,66.47,72.00
"LABS","Financial","Exchange Traded Fund",,,,,,,,,,,38.92,
"LABU","Financial","Exchange Traded Fund",,,,,,,,,,,45.10,
"LAD","Services","Auto Dealerships",2386.32,0.29,7.90%,68.10%,25.00%,31.00%,8.00%,15.10%,3.80%,2.20%,91.50,103.30
"LADR","Financial","REIT - Diversified",1447.26,4.52,15.52%,9.30%,5.00%,18.80%,2.90%,63.50%,17.10%,8.70%,12.86,14.36
"LAKE","Healthcare","Medical Instruments & Supplies",76.15,0.80,57.80%,33.60%,10.00%,0.00%,10.70%,35.50%,9.30%,2.80%,10.36,15.75
"LALT","Financial","Exchange Traded Fund",,,,,,,,,,,22.61,
"LAMR","Financial","REIT - Diversified",6155.21,4.30,6.14%,52.30%,3.00%,4.40%,12.40%,64.70%,29.10%,20.60%,61.10,65.83
"LANC","Consumer Goods","Food - Major Diversified",3745.65,3.14,4.84%,3.00%,3.00%,1.80%,23.70%,25.20%,15.50%,10.20%,131.75,123.67
"LAND","Financial","REIT - Diversified",116.71,8.10,141.38%,-20.20%,10.00%,37.50%,2.10%,84.80%,39.50%,6.40%,11.19,12.95
"LAQ","Financial","Asset Management",,,,0.00%,,,,,,,20.84,
"LARE","Financial","Exchange Traded Fund",,,,,,,,,,,29.32,
"LARK","Financial","Regional - Southwest  Banks",96.91,3.33,,36.70%,,3.60%,20.00%,,87.80%,33.10%,26.55,
"LATM","Financial","Exchange Traded Fund",,,,,,,,,,,,
"LAWS","Services","Industrial Equipment Wholesale",141.56,0.52,371.25%,-50.50%,-12.00%,-2.70%,1.80%,61.00%,0.40%,0.00%,16.29,23.67
"LAYN","Industrial Goods","Heavy Construction",174.08,0.27,125.70%,-31.20%,3.00%,-7.30%,-12.70%,17.60%,-3.30%,-5.20%,8.25,8.94
"LAZ","Financial","Asset Management",4906.06,2.18,10.73%,40.20%,-2.46%,3.70%,42.90%,93.30%,41.00%,31.30%,36.70,43.61
"LB","Services","Apparel Stores",21120.09,1.71,7.07%,11.80%,10.00%,4.80%,27.70%,41.90%,17.30%,9.70%,71.93,78.56
"LBAI","Financial","Regional - Northeast Banks",609.71,4.30,8.38%,9.20%,9.00%,0.30%,14.00%,,88.90%,24.10%,13.51,14.00
"LBDC","Financial","Exchange Traded Fund",,,,,,,,,,,18.09,
"LBF","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,8.28,
"LBIO","Healthcare","Biotechnology",495.05,,-8.00%,24.00%,,,,,,,8.18,16.40
"LBIX","Consumer Goods","Beverages - Soft Drinks",5.99,0.72,,0.00%,,-10.30%,-11.80%,30.60%,-12.60%,-5.50%,2.14,4.40
"LBJ","Financial","Exchange Traded Fund",,,,,,,,,,,80.50,
"LBND","Financial","Exchange Traded Fund",,,,,,,,,,,65.36,
"LBRDK","Services","Broadcasting - TV",10843.77,132.73,-80.30%,0.00%,,,,,,,70.91,72.67
"LBTYA","Services","CATV Systems",35873.86,2.07,3100.00%,20.60%,-0.33%,15.30%,2.50%,62.90%,11.60%,-1.70%,32.65,41.35
"LBTYK","Services","CATV Systems",20535.64,1.09,,,,,,,,,31.85,
"LBY","Consumer Goods","Home Furnishings & Fixtures",375.49,0.46,15.51%,-3.10%,10.00%,0.60%,14.10%,20.50%,5.00%,7.20%,16.96,25.50
"LC","Financial","Credit Services",2462.94,2.11,140.00%,15.70%,26.32%,119.70%,-0.10%,43.40%,-6.30%,-6.10%,6.17,7.37
"LCI","Healthcare","Drugs - Generic",1234.65,2.18,6.65%,159.60%,21.11%,39.60%,6.80%,54.80%,22.60%,7.90%,32.38,41.00
"LCM","Financial","Closed-End Fund - Debt",,,,0.00%,,,,,,,8.26,
"LCNB","Financial","Regional - Mid-Atlantic Banks",181.98,4.24,8.00%,-2.90%,,4.60%,24.10%,,89.00%,26.70%,18.00,19.00
"LCUT","Consumer Goods","Housewares & Accessories",185.52,0.32,25.24%,-9.70%,10.00%,5.80%,5.90%,36.20%,3.70%,1.80%,12.36,19.00
"LD","Financial","Exchange Traded Fund",,,,,,,,,,,41.30,
"LDF","Financial","Closed-End Fund - Foreign",,,,0.00%,,,,,,,9.87,
"LDI","Financial","Savings & Loans",,,,,,,,,,,,
"LDL","Consumer Goods","Auto Parts",842.46,1.59,17.66%,88.70%,17.50%,10.70%,10.40%,24.40%,10.30%,6.90%,47.17,52.00
"LDOS","Technology","Information & Delivery Services",6396.25,1.33,-0.41%,-10.60%,10.00%,-15.30%,9.70%,11.90%,7.90%,5.40%,42.10,49.67
"LDR","Technology","Scientific & Technical Instruments",446.16,2.92,11.19%,-9.70%,15.00%,5.80%,12.10%,51.50%,18.40%,11.60%,44.35,42.67
"LDRI","Financial","Exchange Traded Fund",,,,,,,,,,,25.11,
"LDUR","Financial","Exchange Traded Fund",,,,,,,,,,,100.97,
"LE","Services","Catalog & Mail Order Houses",582.36,0.42,44.62%,-17.90%,20.00%,-2.00%,0.50%,45.70%,-2.40%,-2.70%,18.25,20.50
"LEA","Consumer Goods","Auto Parts",8552.55,0.46,5.74%,18.80%,11.80%,8.80%,17.10%,11.30%,7.40%,5.10%,116.95,137.92
"LEAD","Financial","Exchange Traded Fund",,,,,,,,,,,24.90,
"LECO","Industrial Goods","Small Tools & Accessories",4224.99,1.79,9.64%,2.20%,7.56%,4.10%,10.80%,33.40%,5.00%,3.10%,60.87,68.18
"LEDS","Technology","Semiconductor- Memory Chips",17.34,1.52,,-53.10%,50.00%,-17.00%,-40.10%,-41.50%,,,5.80,3.00
"LEE","Services","Publishing - Newspapers",201.21,0.32,-31.97%,-16.30%,3.00%,-2.80%,16.90%,95.90%,21.90%,7.10%,3.12,4.38
"LEG","Consumer Goods","Home Furnishings & Fixtures",6935.32,1.80,8.61%,14.40%,10.20%,3.10%,17.80%,24.50%,13.70%,10.00%,49.26,51.25
"LEI","Basic Materials","Independent Oil & Gas",6.32,9.03,,-17.50%,,-20.40%,-254.30%,-17.40%,,,3.57,1.00
"LEJU","Financial","Property Management",599.18,1.01,21.93%,0.00%,14.94%,,7.80%,90.10%,,4.60%,4.42,5.06
"LEMB","Financial","Exchange Traded Fund",,,,,,,,,,,45.11,
"LEN","Industrial Goods","Residential Construction",9731.16,0.96,9.65%,46.70%,8.70%,25.20%,6.70%,13.70%,12.60%,8.40%,45.01,
"LENS","Healthcare","Medical Instruments & Supplies",60.50,1374.99,34.30%,0.00%,,,-82.50%,,,,4.34,12.50
"LEO","Financial","Closed-End Fund - Debt",576.33,14.37,,-7.40%,,-1.90%,4.90%,97.70%,84.50%,94.20%,9.17,
"LEU","Basic Materials","Industrial Metals & Minerals",31.47,0.09,,-29.00%,,-26.80%,-205.30%,23.20%,-45.70%,-51.20%,3.47,
"LFC","Financial","Life Insurance",86545.99,1.14,-8.47%,0.60%,0.10%,5.60%,9.50%,,9.50%,6.80%,13.41,19.49
"LFL","Services","Regional Airlines",4436.76,0.50,164.44%,-18.40%,,17.30%,5.30%,21.60%,4.70%,-1.30%,7.88,8.36
"LFUS","Services","Electronics Wholesale",2915.45,3.15,15.53%,0.60%,15.00%,7.40%,8.80%,38.20%,10.80%,8.70%,126.21,137.25
"LFVN","Consumer Goods","Personal Products",144.49,0.73,,18.80%,12.00%,75.40%,44.70%,84.00%,5.50%,2.00%,9.55,12.74
"LGCY","Basic Materials","Independent Oil & Gas",126.64,0.41,-516.70%,18.59%,17.50%,9.40%,-71.10%,32.40%,,,1.65,2.29
"LGF","Services","Movie Production, Theaters",3066.26,1.23,64.81%,27.80%,32.60%,8.20%,2.10%,37.70%,-3.70%,0.40%,20.34,26.75
"LGI","Financial","Closed-End Fund - Foreign",,,,0.00%,,,,,,,13.69,
"LGIH","Financial","Real Estate Development",836.86,1.14,16.84%,57.13%,22.04%,,9.50%,26.30%,12.90%,8.60%,36.64,42.33
"LGL","Industrial Goods","Industrial Electrical Equipment",10.80,0.55,,-15.60%,20.00%,-15.00%,-5.80%,33.00%,-2.30%,-2.20%,4.06,8.00
"LGLV","Financial","Exchange Traded Fund",,,,,,,,,,,79.11,
"LGND","Healthcare","Biotechnology",2474.22,28.08,50.62%,83.10%,45.43%,25.00%,54.20%,95.70%,44.30%,,115.08,140.33
"LH","Healthcare","Medical Laboratories & Research",14196.62,1.51,10.57%,-3.90%,10.08%,11.60%,6.30%,33.00%,12.90%,6.60%,134.68,150.10
"LHCG","Healthcare","Home Health Care",669.16,0.77,6.13%,-7.20%,15.00%,5.30%,9.60%,40.10%,7.60%,3.90%,36.21,47.00
"LHO","Financial","REIT - Hotel/Motel",2917.31,2.36,-8.20%,38.80%,,15.20%,4.90%,35.30%,15.10%,10.40%,24.93,25.31
"LIFE","Healthcare","Biotechnology",78.11,,6.30%,0.00%,,,,,,,3.26,6.67
"LII","Industrial Goods","Diversified Machinery",7080.47,2.01,12.53%,12.70%,17.91%,6.00%,24.00%,28.40%,10.00%,6.40%,156.44,152.36
"LILA","Services","CATV Systems",34857.73,22.86,330.40%,0.00%,47.90%,,8.20%,57.70%,11.20%,-8.10%,29.26,40.67
"LILAK","Services","CATV Systems",3611.84,2.37,49.00%,0.00%,26.60%,,,,,,29.81,42.75
"LIME","Industrial Goods","Industrial Electrical Equipment",15.17,0.14,,0.00%,,,,,,,1.57,
"LINC","Services","Education & Training Services",60.61,0.33,933.30%,-15.40%,10.00%,-20.40%,0.40%,50.80%,,,2.48,4.00
"LIND","Consumer Goods","Recreational Goods, Other",428.51,1.94,23.88%,0.00%,,,6.50%,52.70%,6.20%,4.60%,9.17,11.50
"LION","Financial","Regional - Mid-Atlantic Banks",477.94,3.57,-4.79%,26.00%,5.00%,4.10%,17.60%,,79.50%,20.30%,18.09,19.00
"LIOX","Services","Business Services",301.92,0.54,20.36%,64.40%,13.50%,6.70%,7.40%,33.30%,2.90%,1.80%,4.73,6.59
"LIQT","Industrial Goods","Pollution & Treatment Controls",34.53,1.75,166.70%,0.00%,25.00%,0.10%,-11.70%,29.00%,-2.90%,-16.90%,0.81,1.38
"LIT","Financial","Exchange Traded Fund",,,,,,,,,,,24.52,
"LITB","Services","Catalog & Mail Order Houses",215.73,0.71,-11.11%,6.90%,45.00%,40.70%,1867.00%,36.70%,-6.60%,-6.60%,2.86,6.00
"LITE","Technology","Communication Equipment",2427.69,2.69,16.72%,0.00%,20.00%,,2.20%,30.70%,1.30%,-0.40%,38.85,35.27
"LIVE","Technology","Internet Information Providers",28.44,0.36,65.63%,27.10%,0.00%,51.10%,-36.50%,28.20%,-0.90%,13.20%,1.67,8.27
"LJPC","Healthcare","Biotechnology",387.15,258.10,4.60%,0.00%,13.20%,,-35.60%,,,,22.25,44.50
"LKFN","Financial","Regional - Midwest Banks",892.47,6.85,2.55%,15.90%,10.00%,-0.20%,19.60%,,86.10%,37.60%,35.22,33.11
"LKOR","Financial","Exchange Traded Fund",,,,,,,,,,,54.38,
"LKQ","Consumer Goods","Auto Parts",11218.08,1.41,13.28%,19.10%,26.75%,23.80%,10.30%,38.90%,9.10%,5.60%,35.69,39.10
"LL","Services","Home Improvement Stores",439.79,0.47,99.00%,-33.50%,30.00%,9.60%,-20.20%,28.80%,-11.60%,-7.70%,15.78,13.09
"LLEM","Financial","Exchange Traded Fund",,,,,,,,,,,23.59,
"LLL","Industrial Goods","Aerospace/Defense Products & Services",11640.42,1.17,8.31%,-13.10%,9.93%,-4.80%,5.60%,10.10%,6.00%,-0.90%,147.59,164.30
"LLNW","Technology","Internet Information Providers",177.24,1.04,800.00%,-0.30%,2.00%,2.10%,-13.00%,40.60%,-44.50%,-44.60%,1.57,3.09
"LLSC","Financial","Exchange Traded Fund",,,,,,,,,,,26.67,
"LLSP","Financial","Exchange Traded Fund",,,,,,,,,,,26.95,
"LLTC","Technology","Semiconductor - Specialized",14232.92,10.00,6.98%,-4.20%,10.00%,-0.80%,27.80%,75.90%,44.50%,34.70%,58.55,61.60
"LLY","Healthcare","Drug Manufacturers - Major",88839.60,4.31,13.96%,-13.20%,13.06%,-2.90%,9.50%,73.70%,14.60%,12.00%,78.82,96.70
"LM","Financial","Asset Management",3590.53,1.35,42.79%,-16.60%,14.52%,-0.90%,-1.10%,80.40%,,,34.15,40.33
"LMAT","Healthcare","Medical Instruments & Supplies",393.67,4.79,13.45%,2.60%,18.50%,6.90%,10.10%,70.20%,16.50%,11.40%,20.94,20.07
"LMBS","Financial","Exchange Traded Fund",,,,,,,,,,,52.47,
"LMCA","Services","Broadcasting - TV",16968.50,3.35,-158.10%,-53.20%,,18.50%,4.20%,63.30%,32.50%,9.20%,27.54,28.81
"LMCK","Services","Entertainment - Diversified",6042.69,,87.30%,0.00%,,,,,,,27.15,19.00
"LMIA","Industrial Goods","Aerospace/Defense Products & Services",100.22,0.28,335.00%,-16.60%,15.00%,10.90%,5.60%,18.10%,-3.10%,-9.20%,7.44,10.25
"LMLP","Financial","Exchange Traded Fund",,,,,,,,,,,11.31,
"LMNR","Consumer Goods","Farm Products",254.50,2.64,53.03%,142.50%,20.00%,13.10%,0.30%,12.60%,5.40%,8.40%,18.95,23.05
"LMNX","Healthcare","Medical Instruments & Supplies",977.22,3.94,0.00%,47.60%,56.30%,10.90%,9.70%,70.50%,15.70%,16.60%,21.96,22.00
"LMOS","Technology","Diversified Communication Services",323.32,1.57,9833.33%,-15.20%,7.50%,7.00%,4.90%,80.60%,15.40%,1.00%,13.77,17.38
"LMRK","Financial","Property Management",275.01,8.38,72.55%,0.00%,,,1.90%,99.30%,49.00%,5.30%,18.01,20.83
"LMT","Industrial Goods","Aerospace/Defense Products & Services",73544.08,1.50,-4.21%,-4.10%,6.00%,0.20%,21.90%,11.10%,11.20%,7.60%,239.09,263.38
"LN","Technology","Application Software",9824.36,7.72,,0.00%,,,-11.90%,,,,44.22,
"LNC","Financial","Life Insurance",11118.93,0.82,12.10%,15.40%,11.01%,5.10%,7.60%,,11.50%,7.70%,47.59,50.00
"LNCE","Consumer Goods","Processed & Packaged Goods",3349.95,1.77,26.75%,57.70%,11.27%,11.10%,4.20%,34.20%,2.50%,0.90%,33.57,39.60
"LND","Financial","Property Management",,,,,,,,,,,3.35,
"LNDC","Consumer Goods","Farm Products",351.62,0.65,41.09%,-37.60%,12.50%,14.40%,-4.50%,13.10%,-3.70%,-2.20%,12.46,14.36
"LNG","Basic Materials","Oil & Gas Pipelines",10440.80,27.45,122.80%,-25.80%,-0.55%,-1.50%,-4.10%,42.60%,,,43.44,53.82
"LNGR","Financial","Exchange Traded Fund",,,,,,,,,,,16.34,
"LNKD","Technology","Internet Information Providers",25963.06,7.56,19.99%,62.34%,24.42%,65.20%,-1.80%,86.40%,-3.60%,-6.40%,192.59,187.77
"LNN","Industrial Goods","Farm & Construction Machinery",776.35,1.53,50.17%,2.40%,12.00%,9.30%,7.50%,28.00%,4.90%,1.80%,71.29,67.40
"LNT","Utilities","Electric Utilities",9026.89,2.79,5.98%,5.10%,6.60%,-0.10%,6.60%,94.20%,18.20%,12.20%,37.96,39.70
"LNTH","Healthcare","Medical Appliances & Equipment",320.33,1.07,31.18%,0.00%,13.23%,,14.30%,45.50%,19.20%,9.00%,8.29,7.75
"LOAN","Financial","Credit Services",51.04,11.60,23.81%,28.30%,,27.00%,7.30%,,58.30%,59.30%,6.27,6.60
